Date,Bid,Descript
2018/8/28,000651.SZ,推荐 评级 家电行业 周报 多 因素 致月 空调 内销 同比 下降 中长期 依旧 看好 
2018/8/28,000651.SZ,看好 评级 家电行业 周报 空调 月 内销 增速 下滑 关注 人民币 汇率 贬值 影响 
2018/8/29,000651.SZ,东北 家电 唐凯 何智超 地产 家电 专题研究 之 空调 行业 四维 视角 看 地产 影响 
2018/8/30,000651.SZ,格力电器 上半年 净利 增进 军 空调 芯片 设计 领域 
2018/8/30,000651.SZ,格力电器 壕气 十足 半年报 拟 分红 
2018/8/30,000651.SZ,格力 交中报 成绩单 分红 董明珠 被 挤出 不再 是 前 十大 股东 
2018/8/30,000651.SZ,格力电器 拟年 中 分红 亿 河北 银隆 欠 上市公司 账款 超亿 
2018/8/30,000651.SZ,晚 公告 精选 丨 格力 分红 拟派 ST 长生 或 将 停牌 
2018/8/30,000651.SZ,董明珠 兑现 诺言 格力 上半年 每股 派 发现 金红利 元 
2018/8/30,000651.SZ,格力电器 上半年 净利 同比 增长 
2018/8/30,000651.SZ,中 报 格力电器 上半年 净利 同比 增拟 派 元 
2018/8/30,000651.SZ,格力电器 上半年 净利润 同比 增长 
2018/8/30,000651.SZ,格力电器 上半年 实现 净利润 拟派 元 
2018/8/30,000651.SZ,格力电器 上半年 净利 拟派 元 
2018/8/30,000651.SZ,格力电器 上半年 净利 增长 拟派 元 
